scenario_id,candidate_prolific_id,location,weather,human_congestion_level,human_noise_level,non_human_noise_level,candidate_occluded,gaze_self_to_candidate,gaze_candidate_to_self,proximity,candidate_clothing_athletic,candidate_clothing_casual,candidate_clothing_trendy,candidate_clothing_formal,candidate_clothing_designer,candidate_clothing_eyeglasses,candidate_clothing_sunglasses,candidate_clothing_luxury_watch,candidate_clothing_smart_watch,candidate_clothing_hat,candidate_clothing_necklace,candidate_clothing_rings,candidate_clothing_earrings
1,656e8c0935854adf1b4ccce4,Cafe / Coffee shop,clear,FALSE,loud,quiet,TRUE,FALSE,FALSE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2,5ebc70e8d7a1780bedd1514e,"Outdoor activity (walking/hiking trail, biking, park, neighborhood, dog park, etc.)",cloudy,FALSE,loud,loud,FALSE,TRUE,FALSE,far,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
3,60fd59a9755a5f00dbf34a1c,Gym,cloudy,TRUE,loud,loud,TRUE,FALSE,TRUE,far,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,661a91f75f980845e760cf62,Workplace,cloudy,TRUE,loud,quiet,TRUE,FALSE,TRUE,far,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,641374b5a30a87f5ed9330f4,School / University,rainy,FALSE,quiet,loud,TRUE,FALSE,TRUE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
6,660b39ffd8e9b35fd0f563b9,Sit-down restaurant,rainy,TRUE,quiet,loud,TRUE,FALSE,FALSE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,662152e858fed954e333e8e5,School / University,clear,FALSE,loud,loud,FALSE,TRUE,TRUE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,63c38dfca628b972e69e8a87,Bar / Nightclub,rainy,FALSE,loud,loud,TRUE,FALSE,TRUE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,5fb3cb99e76cea00085d02c6,Sit-down restaurant,rainy,FALSE,loud,quiet,TRUE,FALSE,TRUE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,5ef78f819d93424af2af742b,Sit-down restaurant,clear,FALSE,quiet,loud,FALSE,TRUE,TRUE,near,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
