scenario_id,candidate_prolific_id,location,weather,human_congestion_level,human_noise_level,non_human_noise_level,candidate_occluded,gaze_self_to_candidate,gaze_candidate_to_self,proximity,candidate_clothing_athletic,candidate_clothing_casual,candidate_clothing_trendy,candidate_clothing_formal,candidate_clothing_designer,candidate_clothing_eyeglasses,candidate_clothing_sunglasses,candidate_clothing_luxury_watch,candidate_clothing_smart_watch,candidate_clothing_hat,candidate_clothing_necklace,candidate_clothing_rings,candidate_clothing_earrings
1,5e78e53a0b2d8247350c1c86,Sit-down restaurant,cloudy,TRUE,loud,quiet,FALSE,TRUE,FALSE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,60dd16a6d16ec5f253b2e29e,Cafe / Coffee shop,clear,FALSE,loud,quiet,TRUE,FALSE,FALSE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,5d68c88914867f000139f627,Sit-down restaurant,rainy,TRUE,loud,loud,FALSE,TRUE,TRUE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4,6620e04a8b73f1ffd8692f03,Gym,rainy,TRUE,quiet,loud,FALSE,TRUE,FALSE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5,5f0a5a99dbbf721316f118e2,Cafe / Coffee shop,cloudy,TRUE,quiet,loud,FALSE,TRUE,TRUE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6,660752ba689e8457ca3487cd,Bar / Nightclub,clear,FALSE,loud,loud,TRUE,FALSE,FALSE,far,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
7,637ea165e071484955b325f7,"Attraction (museum, concert, movie theater, shopping mall, amusement park, etc.)",rainy,FALSE,loud,loud,TRUE,FALSE,TRUE,near,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,659711fa417392dfbe43d439,Sit-down restaurant,cloudy,TRUE,loud,loud,FALSE,TRUE,TRUE,far,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
9,5eb3935fd0e02317909c5f32,Sit-down restaurant,cloudy,TRUE,loud,loud,TRUE,FALSE,TRUE,far,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
10,6604ae923fe580e8b2e745f2,Cafe / Coffee shop,cloudy,TRUE,loud,quiet,TRUE,FALSE,TRUE,far,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
